summonerId,highestAchievedSeasonTier,avg kills,avg deaths,avg assists,avg performance
44410378,UNRANKED,8.0,3.0,4.0,0.6
43982917,SILVER,9.0,2.0,12.0,0.8260869565217391
40898999,GOLD,13.0,12.0,5.0,0.2
29753239,PLATINUM,6.0,10.0,12.0,0.2857142857142857
37809346,GOLD,8.0,11.0,6.0,0.12
45519722,GOLD,10.0,4.0,10.0,0.6666666666666666
43082868,PLATINUM,8.0,4.0,7.0,0.5789473684210527
27259227,GOLD,7.0,5.0,16.0,0.6428571428571429
23144035,GOLD,6.0,9.0,6.0,0.14285714285714285
26651129,UNRANKED,10.0,4.0,11.0,0.68
26694389,PLATINUM,8.0,6.0,7.0,0.42857142857142855
22483476,GOLD,1.0,3.0,27.0,0.8064516129032258
40520173,GOLD,1.0,10.0,11.0,0.09090909090909091
27401924,PLATINUM,6.0,9.0,4.0,0.05263157894736842
30369975,GOLD,3.0,6.0,5.0,0.14285714285714285
31234431,PLATINUM,12.0,7.0,10.0,0.5172413793103449
60052207,PLATINUM,2.0,8.0,15.0,0.36
37639719,PLATINUM,2.0,8.0,13.0,0.30434782608695654
45781108,PLATINUM,2.0,10.0,10.0,0.09090909090909091
46531709,GOLD,8.0,5.0,3.0,0.375
48457220,PLATINUM,6.0,11.0,6.0,0.043478260869565216
54806425,PLATINUM,8.0,4.0,12.0,0.6666666666666666
21419097,PLATINUM,12.0,3.0,3.0,0.6666666666666666
25925262,GOLD,0.0,5.0,12.0,0.4117647058823529
35861614,PLATINUM,7.0,8.0,7.0,0.2727272727272727
47743426,PLATINUM,10.0,9.0,5.0,0.25
37388505,GOLD,1.0,5.0,7.0,0.23076923076923078
59482627,SILVER,4.0,5.0,13.0,0.5454545454545454
34265363,SILVER,6.0,3.0,8.0,0.6470588235294118
44612941,SILVER,13.0,5.0,8.0,0.6153846153846154
48133108,SILVER,6.0,6.0,9.0,0.42857142857142855
21045253,SILVER,1.0,6.0,14.0,0.42857142857142855
44318428,GOLD,2.0,5.0,8.0,0.3333333333333333
50868792,SILVER,0.0,5.0,14.0,0.47368421052631576
22921387,SILVER,15.0,7.0,10.0,0.5625
50663381,SILVER,3.0,10.0,7.0,0.0
40630643,GOLD,12.0,4.0,15.0,0.7419354838709677
22557032,GOLD,9.0,5.0,13.0,0.6296296296296297
56991374,UNRANKED,2.0,8.0,7.0,0.058823529411764705
52320700,GOLD,8.0,7.0,3.0,0.2222222222222222
22030070,GOLD,5.0,8.0,8.0,0.23809523809523808
20499031,GOLD,1.0,10.0,19.0,0.3333333333333333
37561292,SILVER,7.0,8.0,18.0,0.5151515151515151
53580141,GOLD,8.0,13.0,11.0,0.1875
22501388,GOLD,17.0,8.0,8.0,0.5151515151515151
19196019,GOLD,11.0,10.0,8.0,0.3103448275862069
19169304,SILVER,7.0,8.0,14.0,0.4482758620689655
20389205,SILVER,9.0,6.0,8.0,0.4782608695652174
39498017,UNRANKED,6.0,7.0,8.0,0.3333333333333333
35872405,SILVER,2.0,8.0,6.0,0.0
56988782,SILVER,1.0,7.0,13.0,0.3333333333333333
59717221,SILVER,5.0,8.0,3.0,0.0
44561129,BRONZE,4.0,5.0,5.0,0.2857142857142857
53378524,BRONZE,5.0,5.0,7.0,0.4117647058823529
51520155,BRONZE,0.0,6.0,4.0,-0.2
64290365,BRONZE,8.0,4.0,2.0,0.42857142857142855
40293596,SILVER,0.0,8.0,1.0,-0.7777777777777778
48430022,UNRANKED,0.0,6.0,3.0,-0.3333333333333333
19322964,GOLD,4.0,5.0,1.0,0.0
43636193,GOLD,1.0,2.0,11.0,0.7142857142857143
47800740,SILVER,5.0,1.0,3.0,0.7777777777777778
20333580,UNRANKED,2.0,1.0,10.0,0.8461538461538461
64841539,UNRANKED,14.0,2.0,5.0,0.8095238095238095
61643989,SILVER,8.0,2.0,8.0,0.7777777777777778
20939128,SILVER,0.0,7.0,1.0,-0.75
22335593,GOLD,0.0,1.0,5.0,0.6666666666666666
23549475,GOLD,1.0,4.0,15.0,0.6
29802114,SILVER,0.0,6.0,0.0,-1.0
42891154,GOLD,4.0,4.0,1.0,0.1111111111111111
47176089,GOLD,4.0,4.0,1.0,0.1111111111111111
32159996,GOLD,3.0,0.0,14.0,1.0
44269347,GOLD,12.0,1.0,4.0,0.8823529411764706
55522570,SILVER,1.0,4.0,6.0,0.2727272727272727
32028202,GOLD,5.0,1.0,7.0,0.8461538461538461
31258957,PLATINUM,1.0,6.0,2.0,-0.3333333333333333
71599490,GOLD,1.0,7.0,2.0,-0.4
46559921,PLATINUM,9.0,5.0,3.0,0.4117647058823529
25510856,SILVER,5.0,0.0,12.0,1.0
37290119,SILVER,3.0,3.0,3.0,0.3333333333333333
37320547,SILVER,6.0,3.0,10.0,0.6842105263157895
43415859,GOLD,0.0,9.0,4.0,-0.38461538461538464
64751508,SILVER,4.0,6.0,1.0,-0.09090909090909091
41762190,PLATINUM,8.0,2.0,8.0,0.7777777777777778
68269524,UNRANKED,5.0,2.0,2.0,0.5555555555555556
